"County","County Number","Legislative District","Precinct Number","Polling Location","Address","City","State","Zip Code","Polling Hours","County Auditor Phone"
"Cass","09","22","04","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","04","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","04","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","04","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","04","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","04","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","05","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","06","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","22","07","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","01","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","02","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","27","03","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","01","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","41","02","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Northview Church","3401 25th St S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Olivet Lutheran","1330 University Drive South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","RRVF - Hartl Ag Building","1805 Main Ave W","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Scheels Arena","5225 31st Ave S","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Tower City Community Center","507 Broadway St","Tower City","ND","58071"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","01","Triumph West","3745 Sheyenne St","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Arthur Community Hall","550 Main St","Arthur","ND","58006"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Atonement Lutheran","4601 University Drive South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Calvary United Methodist","4575 45th Street South","Fargo","ND","58104"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Cass County Courthouse","211 9th St S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","El Zagal Shrine","1429 3rd Street North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Harwood Community Center","210 Freedland Drive","Harwood","ND","58042"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Horace Senior Ctr","214 Thue Ct","Horace","ND","58047"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Hulbert Aquatic Center","620 7th Ave E","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
"Cass","09","44","02","Kindred City Hall","31 5th Ave N","Kindred","ND","58051"," 7:00AM-7:00PM","(701) 241-5600 Ext. "
